crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
1,06/06/2018 20:39,06/06/2018,-1.26302986,36.76437436,1,0,0,0,0
2,17/08/2018 06:15,17/08/2018,-0.829710012,37.03782,1,1,0,0,0
3,25/05/2018 17:51,25/05/2018,-1.12530079,37.00329747,1,0,0,0,0
4,25/05/2018 18:11,25/05/2018,-1.740957808,37.1290255,1,0,0,0,0
5,25/05/2018 21:59,25/05/2018,-1.259392311,36.8423208,1,1,0,0,0
6,26/05/2018 07:11,26/05/2018,-1.215499093,36.83515033,1,0,0,0,0
7,26/05/2018 07:42,26/05/2018,-1.372555831,36.92049112,1,1,0,0,0
8,26/05/2018 07:52,26/05/2018,-1.209940481,36.83317295,1,0,0,0,0
9,26/05/2018 11:51,26/05/2018,-1.314351386,36.80790853,1,0,0,0,0
10,26/05/2018 15:42,26/05/2018,-1.206787811,36.8549914,1,0,0,0,0
11,26/05/2018 18:21,26/05/2018,-1.244783011,36.86685424,1,0,0,0,0
12,27/05/2018 14:03,27/05/2018,-1.233801613,36.87316981,1,0,0,0,0
13,27/05/2018 14:04,27/05/2018,-1.258862912,36.91377994,1,1,0,0,1
14,27/05/2018 14:49,27/05/2018,-1.067962011,37.05124,1,0,0,1,0
15,27/05/2018 17:00,27/05/2018,-1.260873244,36.71298152,1,0,0,0,1
16,28/05/2018 19:42,28/05/2018,-1.397698618,36.94165244,1,0,0,1,0
17,29/05/2018 16:33,29/05/2018,-1.319632768,36.83798226,1,0,0,0,0
18,29/05/2018 16:44,29/05/2018,-1.305472011,36.8251278,1,0,0,0,0
19,29/05/2018 17:18,29/05/2018,-1.250170254,36.8466005,1,0,0,0,0
20,29/05/2018 18:32,29/05/2018,-1.503180538,37.0873459,1,0,0,0,0
21,30/05/2018 06:35,30/05/2018,-1.250197048,36.82075443,1,0,0,1,0
22,30/05/2018 10:22,30/05/2018,-1.225521946,36.83880457,1,0,0,0,0
23,30/05/2018 17:29,30/05/2018,-1.273061112,36.8129184,1,0,0,0,0
24,30/05/2018 19:07,30/05/2018,-1.117207111,37.0082784,1,0,0,0,0
25,31/05/2018 08:51,31/05/2018,-1.264266609,36.74698523,1,0,0,0,0
